"Status_of_existing_checking_account","Duration_in_month","Credit_history","Purpose","Credit_amount","Saving_account_bonds","Present_employment_since","Installment_rate_of_disposable_income","Sex","Personal_status","Other_debtors_guarantors","Present_residence_since","Property","Age_in_years","Other_installment_plans","Housing","Number_of_existing_credits_at_this_bank","Job","Number_of_people_being_liable_to_provide_maintenance_for","Telephone","Foreign_worker","Good_loan"
"... < 0 DM",6,"critical account","radio/television",1169,NA,"... >= 7 years",0.04,"male","single","none",4,"real estate",67,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",48,"existing credits paid back duly till now","radio/television",5951,"... <  100 DM","1  <= ... < 4 years",0.02,"female","divorced/separated/married","none",2,"real estate",22,"none","own",1,"skilled employee/official",1,"no","yes","no"
NA,12,"critical account","education",2096,"... <  100 DM","4  <= ... < 7 years",0.02,"male","single","none",3,"real estate",49,"none","own",1,"unskilled - resident",2,"no","yes","yes"
"... < 0 DM",42,"existing credits paid back duly till now","furniture/equipment",7882,"... <  100 DM","4  <= ... < 7 years",0.02,"male","single","guarantor",4,"building society savings agreement/life insurance",45,"none","for free",1,"skilled employee/official",2,"no","yes","yes"
"... < 0 DM",24,"delay in paying off in the past","car (new)",4870,"... <  100 DM","1  <= ... < 4 years",0.03,"male","single","none",4,NA,53,"none","for free",2,"skilled employee/official",2,"no","yes","no"
NA,36,"existing credits paid back duly till now","education",9055,NA,"1  <= ... < 4 years",0.02,"male","single","none",4,NA,35,"none","for free",1,"unskilled - resident",2,"yes","yes","yes"
NA,24,"existing credits paid back duly till now","furniture/equipment",2835,"500 <= ... < 1000 DM","... >= 7 years",0.03,"male","single","none",4,"building society savings agreement/life insurance",53,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",36,"existing credits paid back duly till now","car (used)",6948,"... <  100 DM","1  <= ... < 4 years",0.02,"male","single","none",2,"car or other",35,"none","rent",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
NA,12,"existing credits paid back duly till now","radio/television",3059,"... >= 1000 DM","4  <= ... < 7 years",0.02,"male","divorced/separated","none",4,"real estate",61,"none","own",1,"unskilled - resident",1,"no","yes","yes"
"0 <= ... < 200 DM",30,"critical account","car (new)",5234,"... <  100 DM","unemployed",0.04,"male","married/widowed","none",2,"car or other",28,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"no","yes","no"
"0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",1295,"... <  100 DM","... < 1 year",0.03,"female","divorced/separated/married","none",1,"car or other",25,"none","rent",1,"skilled employee/official",1,"no","yes","no"
"... < 0 DM",48,"existing credits paid back duly till now","business",4308,"... <  100 DM","... < 1 year",0.03,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",24,"none","rent",1,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",12,"existing credits paid back duly till now","radio/television",1567,"... <  100 DM","1  <= ... < 4 years",0.01,"female","divorced/separated/married","none",1,"car or other",22,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"... < 0 DM",24,"critical account","car (new)",1199,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,"car or other",60,"none","own",2,"unskilled - resident",1,"no","yes","no"
"... < 0 DM",15,"existing credits paid back duly till now","car (new)",1403,"... <  100 DM","1  <= ... < 4 years",0.02,"female","divorced/separated/married","none",4,"car or other",28,"none","rent",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",24,"existing credits paid back duly till now","radio/television",1282,"100 <= ... <  500 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",2,"car or other",32,"none","own",1,"unskilled - resident",1,"no","yes","no"
NA,24,"critical account","radio/television",2424,NA,"... >= 7 years",0.04,"male","single","none",4,"building society savings agreement/life insurance",53,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",30,"no credits taken","business",8072,NA,"... < 1 year",0.02,"male","single","none",3,"car or other",25,"bank","own",3,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",24,"existing credits paid back duly till now","car (used)",12579,"... <  100 DM","... >= 7 years",0.04,"female","divorced/separated/married","none",2,NA,44,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
NA,24,"existing credits paid back duly till now","radio/television",3430,"500 <= ... < 1000 DM","... >= 7 years",0.03,"male","single","none",2,"car or other",31,"none","own",1,"skilled employee/official",2,"yes","yes","yes"
NA,9,"critical account","car (new)",2134,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",4,"car or other",48,"none","own",3,"skilled employee/official",1,"yes","yes","yes"
"... < 0 DM",6,"existing credits paid back duly till now","radio/television",2647,"500 <= ... < 1000 DM","1  <= ... < 4 years",0.02,"male","single","none",3,"real estate",44,"none","rent",1,"skilled employee/official",2,"no","yes","yes"
"... < 0 DM",10,"critical account","car (new)",2241,"... <  100 DM","... < 1 year",0.01,"male","single","none",3,"real estate",48,"none","rent",2,"unskilled - resident",2,"no","no","yes"
"0 <= ... < 200 DM",12,"critical account","car (used)",1804,"100 <= ... <  500 DM","... < 1 year",0.03,"male","single","none",4,"building society savings agreement/life insurance",44,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,10,"critical account","furniture/equipment",2069,NA,"1  <= ... < 4 years",0.02,"male","married/widowed","none",1,"car or other",26,"none","own",2,"skilled employee/official",1,"no","no","yes"
"... < 0 DM",6,"existing credits paid back duly till now","furniture/equipment",1374,"... <  100 DM","1  <= ... < 4 years",0.01,"male","single","none",2,"real estate",36,"bank","own",1,"unskilled - resident",1,"yes","yes","yes"
NA,6,"no credits taken","radio/television",426,"... <  100 DM","... >= 7 years",0.04,"male","married/widowed","none",4,"car or other",39,"none","own",1,"unskilled - resident",1,"no","yes","yes"
"... >= 200 DM",12,"all credits at this bank paid back duly","radio/television",409,"... >= 1000 DM","1  <= ... < 4 years",0.03,"female","divorced/separated/married","none",3,"real estate",42,"none","rent",2,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",7,"existing credits paid back duly till now","radio/television",2415,"... <  100 DM","1  <= ... < 4 years",0.03,"male","single","guarantor",2,"real estate",34,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",60,"delay in paying off in the past","business",6836,"... <  100 DM","... >= 7 years",0.03,"male","single","none",4,NA,63,"none","own",2,"skilled employee/official",1,"yes","yes","no"
"0 <= ... < 200 DM",18,"existing credits paid back duly till now","business",1913,"... >= 1000 DM","... < 1 year",0.03,"male","married/widowed","none",3,"real estate",36,"bank","own",1,"skilled employee/official",1,"yes","yes","yes"
"... < 0 DM",24,"existing credits paid back duly till now","furniture/equipment",4020,"... <  100 DM","1  <= ... < 4 years",0.02,"male","single","none",2,"car or other",27,"stores","own",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",18,"existing credits paid back duly till now","car (new)",5866,"100 <= ... <  500 DM","1  <= ... < 4 years",0.02,"male","single","none",2,"car or other",30,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
NA,12,"critical account","business",1264,NA,"... >= 7 years",0.04,"male","single","none",4,NA,57,"none","rent",1,"unskilled - resident",1,"no","yes","yes"
